dataset,n_clusters,n_samples,n_features,GCEALS_ACC,GCEALS_NMI,GCEALS_ARI,GCEALS_time_sec,IDC_ACC,IDC_NMI,IDC_ARI,IDC_time_sec,TableDC_ACC,TableDC_NMI,TableDC_ARI,TableDC_time_sec,ZEUS_ACC,ZEUS_NMI,ZEUS_ARI,ZEUS_time_sec,TopoGate_ACC,TopoGate_NMI,TopoGate_ARI,TopoGate_time_sec
iris,3,150,4,0.6,0.5679835500425496,0.42173541723220254,15.363011121749878,0.8133333333333334,0.6166224199890987,0.5801379164100954,1.4733126163482666,0.8133333333333334,0.6444837346223373,0.5874228391993436,1.374366044998169,0.74,0.6740140708694141,0.5536041211913872,0.41207170486450195,0.8666666666666667,0.7004099176605741,0.676454462051257,6.004568099975586
har,6,735,561,0.4312925170068027,0.5060952706763742,0.30680518346893654,16.942474126815796,0.3414965986394558,0.4645405748742796,0.2969601055466589,6.252655982971191,0.4326530612244898,0.44525544176976267,0.2727582227240204,1.430415153503418,0.4965986394557823,0.6679257336068037,0.4492842470364087,1.6810595989227295,0.6408163265306123,0.5731145985767864,0.4135932607747958,9.036140203475952
spambase,2,4601,57,0.8678548141708324,0.4418896020174076,0.5382920354418831,62.55976986885071,0.5985655292327755,0.010417215421592156,-0.00494969888751088,44.49689173698425,0.5842208215605303,0.0003897158219703574,0.004419292925201538,1.5475568771362305,0.6072592914583786,0.009898123752953297,0.028939613394632337,5.098722219467163,0.894370788958922,0.5004329380502347,0.6211510095689471,43.62625789642334
breast_cancer_wisconsin_original,2,683,9,0.9692532942898975,0.793607693849787,0.8797999594058095,17.76730751991272,0.972181551976574,0.814377134375686,0.890981602222408,5.978366374969482,0.9443631039531479,0.6803054200344903,0.78711908880924,1.2088968753814697,0.972181551976574,0.8178227522988706,0.8910118610659804,1.0854337215423584,0.9619326500732065,0.7793945563821635,0.8526035237201478,6.810647964477539
mammographic_mass,2,830,5,0.7987951807228916,0.2881403686388265,0.35634177445654,20.3162260055542,0.7975903614457831,0.2926062894788015,0.35346652553410773,7.57975435256958,0.5156626506024097,0.0024820513130164178,0.00014350230309433982,1.2688634395599365,0.708433734939759,0.1309519551908344,0.1727887418842738,1.027989387512207,0.810843373493976,0.3409367179340975,0.3857645239036342,8.469782829284668
sms_spam_collection,2,835,500,0.9580838323353293,0.5965256289974562,0.7665686103989398,20.108808994293213,0.6778443113772455,0.1809188974868605,0.12068127546555851,8.984864473342896,0.8011976047904191,0.19553483141747718,0.290792925125099,1.3309571743011475,0.6215568862275449,0.0906606657258207,0.057241885447411926,1.0459165573120117,0.9748502994011976,0.725877897909459,0.8606177056057682,9.19411301612854
enron,2,9999,4096,0.9783978397839784,0.8607449154624415,0.9154495212932724,125.21344566345215,0.6279627962796279,0.07816314534103187,0.06542526164911158,107.99436116218567,0.9145914591459146,0.6061905227232502,0.6875133423464885,6.417074203491211,0.9591959195919592,0.754812672818479,0.8434279111833823,2.8638570308685303,0.9724972497249725,0.8441717195327049,0.8930039219257289,184.76145887374878
ISOLET,26,7797,617,0.6060023085802232,0.7286122211061205,0.5124314138603309,101.1429181098938,0.17198922662562524,0.38091804289832787,0.06924515037783804,76.53745627403259,0.518789277927408,0.6315120079358035,0.4033068193126436,5.376030206680298,0.5244324740284725,0.7309947095439673,0.4708886256674503,6.532015562057495,0.5531614723611645,0.7320729446229743,0.4595852909392,92.62021350860596
reuters,3,6576,4096,0.8144768856447688,0.5820133039039552,0.5343393393487447,91.19355654716492,0.5770985401459854,0.3657120294911025,0.2779980057845456,71.87336564064026,0.6000608272506083,0.2879196583051324,0.3004226432683191,5.303593158721924,0.5512469586374696,0.3296667010672974,0.23282928256352411,3.244032144546509,0.5699513381995134,0.2999753770463107,0.3022767187932666,118.07987928390503
cnae9,9,1080,856,0.1962962962962963,0.10882198262196686,0.016077792314647472,15.117387771606445,0.1712962962962963,0.0719717827355145,0.027996939238764545,12.287338733673096,0.18518518518518517,0.05535722549348737,0.024659943942200335,1.377960205078125,0.4064814814814815,0.37227923061828916,0.11584456987791063,2.134596109390259,0.5944444444444444,0.5690493500339817,0.33028345562268857,12.254395723342896
Campbell,14,9993,26774,0.3997798458921245,0.3590500301011388,0.31385356316512186,129.14283871650696,0.4566196337436205,0.10757034097014101,0.1479395953068112,171.14757537841797,0.4132893025117582,0.14088399335464996,0.1987689623826138,23.310865879058838,0.365355749024317,0.408437815715954,0.2358399584520835,8.184339761734009,0.30061042729910936,0.3180112257988915,0.22138302516711575,1172.7946507930756
first-order-theorem-proving,6,6118,51,0.3035305655442955,0.021727045102592383,0.014878335902348404,68.0505039691925,0.2615233736515201,0.050177243455963964,0.0030210734951642056,61.06665825843811,0.3524027459954233,0.015664528239602377,0.005193789474217041,1.456798791885376,0.33654789146779995,0.046708838083143675,0.07213859160345004,2.6675961017608643,0.2543314808761033,0.06550123679350077,0.021578545796963614,64.45139718055725
Mouse_retina,5,8352,6198,0.9090038314176245,0.6558613554193059,0.7260684615998291,98.69558811187744,0.9075670498084292,0.6426768351879021,0.7170159214724031,100.07782912254333,0.6884578544061303,0.37460640250769217,0.4237996071640268,6.781657934188843,0.9297174329501916,0.7356898645179859,0.7389976225422917,2.6232285499572754,0.9790469348659003,0.8700738457369401,0.9234835627379633,207.1883339881897
Quake_Smart-seq2_Lung,11,1676,23341,0.4713603818615752,0.303088472982815,0.14369750717586635,19.1336190700531,0.4743436754176611,0.16365578303449974,0.12816122554376586,24.703665256500244,0.3383054892601432,0.10370198563003835,0.04458852783797269,3.6931312084198,0.30250596658711215,0.19256674668306542,0.12108210048376715,3.0354418754577637,0.4039379474940334,0.4069262637151817,0.18762859652323305,165.0101101398468
hrvatin_filtered,8,48266,500,0.8465586541250569,0.8637443409004072,0.8392175236737659,734.3989841938019,0.5880951394356275,0.6698119401726741,0.46653478992577846,647.5035367012024,0.4984253926159201,0.2755207291632567,0.12316968557821902,207.61118817329407,0.6352090498487548,0.6790928045579381,0.5560439638509161,5.810260057449341,0.34554344673268966,0.17182504053746808,0.011542982191476751,104.47025465965271
