dataset_id,variant,metric,full_minus_variant_mean,full_mean,variant_mean,full_n,variant_n,weights_frozen,training_enabled,selection_source
ISOLET,F_matched_total_mix,ARI,0.09505436230925718,0.5392470935430648,0.4441927312338076,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,F_matched_total_mix,NMI,0.07511950067320872,0.7505897767035582,0.6754702760303495,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,F_matched_total_mix,ACC,0.0758753366679491,0.6104399127869693,0.5345645761190202,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_shuffled_gate,ARI,0.08750482856578201,0.5392470935430648,0.45174226497728276,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_shuffled_gate,NMI,0.07504106838921987,0.7505897767035582,0.6755487083143383,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_shuffled_gate,ACC,0.0711812235475181,0.6104399127869693,0.5392586892394512,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_fixed_mean_gate,ARI,0.07621554132891761,0.5392470935430648,0.46303155221414716,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_fixed_mean_gate,NMI,0.06480673153475958,0.7505897767035582,0.6857830451687986,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_fixed_mean_gate,ACC,0.053225599589585726,0.6104399127869693,0.5572143131973836,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_random_neighbor,ARI,0.07250795853616859,0.5392470935430648,0.4667391350068962,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_random_neighbor,NMI,0.06429913939168841,0.7505897767035582,0.6862906373118698,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_random_neighbor,ACC,0.04550468128767471,0.6104399127869693,0.5649352314992946,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_no_vicinal,ARI,0.04883506488047906,0.5392470935430648,0.4904120286625857,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_no_vicinal,NMI,0.054420298932826516,0.7505897767035582,0.6961694777707317,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
ISOLET,T_no_vicinal,ACC,0.03429524175965115,0.6104399127869693,0.5761446710273181,5,5,True,False,v0_t_plus_ablation_20260906\ablation_summary.csv
Mouse_retina,F_matched_total_mix,ARI,0.4236529076971265,0.9675539289124593,0.5439010212153328,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,F_matched_total_mix,NMI,0.4028902903411631,0.938309561329371,0.535419270988208,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,F_matched_total_mix,ACC,0.148587164750958,0.9908285440613028,0.8422413793103448,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_shuffled_gate,ARI,0.4237164711605992,0.9675539289124593,0.5438374577518601,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_shuffled_gate,NMI,0.40310955095975987,0.938309561329371,0.5352000103696112,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_shuffled_gate,ACC,0.1486350574712646,0.9908285440613028,0.8421934865900382,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_fixed_mean_gate,ARI,0.4235985641405169,0.9675539289124593,0.5439553647719424,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_fixed_mean_gate,NMI,0.40285348769035145,0.938309561329371,0.5354560736390196,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_fixed_mean_gate,ACC,0.14856321839080466,0.9908285440613028,0.8422653256704982,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_random_neighbor,ARI,0.42324406318995766,0.9675539289124593,0.5443098657225016,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_random_neighbor,NMI,0.40314620248998523,0.938309561329371,0.5351633588393858,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
Mouse_retina,T_random_neighbor,ACC,0.1484674329501917,0.9908285440613028,0.8423611111111111,5,5,True,False,v0_t_ablation_eswa_20260906\ablation_summary.csv
